metric,percentage,group
metric0,0.82,0
metric0,0.18,1
metric1,0.98,0
metric1,0.02,1
metric2,0.82,0
metric2,0.16,1
metric2,0.02,2
metric3,0.82,0
metric3,0.16,1
metric3,0.02,2
metric4,0.82,0
metric4,0.16,1
metric4,0.02,2
metric0,0.82,0
metric0,0.18,1
metric1,0.98,0
metric1,0.02,1
metric2,0.82,0
metric2,0.16,1
metric2,0.02,2
metric3,0.82,0
metric3,0.16,1
metric3,0.02,2
metric4,0.82,0
metric4,0.16,1
metric4,0.02,2
metric0,0.82,0
metric0,0.18,1
metric0,0.82,0
metric0,0.18,1
